PPID,EFFDT,EXPDT,FEATURECD,QSECT,CONV,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER
105797719,20000908,,OQSECPPID,NE,100,104265539,26,103005539,4,7,3
105797717,20000908,,OQSECPPID,SW,400,104265539,26,103005539,4,7,3
105797718,20000908,,OQSECPPID,NW,200,104265539,26,103005539,4,7,3
105797712,20000908,,OQSECPPID,SE,300,104255539,25,103005539,4,7,3
105797713,20000908,,OQSECPPID,SW,400,104255539,25,103005539,4,7,3
105797714,20000908,,OQSECPPID,NW,200,104255539,25,103005539,4,7,3
105797715,20000908,,OQSECPPID,NE,100,104255539,25,103005539,4,7,3
105797597,20000908,,OQSECPPID,SW,400,104325538,32,103005538,3,7,3
105797599,20000908,,OQSECPPID,NE,100,104325538,32,103005538,3,7,3
105797596,20000908,,OQSECPPID,SE,300,104325538,32,103005538,3,7,3
105797598,20000908,,OQSECPPID,NW,200,104325538,32,103005538,3,7,3
105797602,20000908,,OQSECPPID,NW,200,104335538,33,103005538,3,7,3
105797601,20000908,,OQSECPPID,SW,400,104335538,33,103005538,3,7,3
105797600,20000908,,OQSECPPID,SE,300,104335538,33,103005538,3,7,3
105797603,20000908,,OQSECPPID,NE,100,104335538,33,103005538,3,7,3
105797606,20000908,,OQSECPPID,NW,200,104345538,34,103005538,3,7,3
105797607,20000908,,OQSECPPID,NE,100,104345538,34,103005538,3,7,3
105797605,20000908,,OQSECPPID,SW,400,104345538,34,103005538,3,7,3
105797604,20000908,,OQSECPPID,SE,300,104345538,34,103005538,3,7,3
105855651,20000913,,OQSECPPID,NE,100,104015942,1,103005942,2,10,3
105855648,20000913,,OQSECPPID,SE,300,104015942,1,103005942,2,10,3
105836231,20000911,,OQSECPPID,NE,100,104065807,6,103005807,2,9,3
105836229,20000911,,OQSECPPID,SW,400,104065807,6,103005807,2,9,3
105836230,20000911,,OQSECPPID,NW,200,104065807,6,103005807,2,9,3
105836228,20000911,,OQSECPPID,SE,300,104065807,6,103005807,2,9,3
105836484,20160624,,OQSECPPID,SE,300,104345808,34,103005808,3,9,3
105836486,20160628,,OQSECPPID,NW,200,104345808,34,103005808,3,9,3
105836487,20160624,,OQSECPPID,NE,100,104345808,34,103005808,3,9,3
105836485,20160628,,OQSECPPID,SW,400,104345808,34,103005808,3,9,3
105836456,20160628,,OQSECPPID,SE,300,104275808,27,103005808,3,9,3
105836459,20160624,,OQSECPPID,NE,100,104275808,27,103005808,3,9,3
105836458,20160628,,OQSECPPID,NW,200,104275808,27,103005808,3,9,3
105836457,20160628,,OQSECPPID,SW,400,104275808,27,103005808,3,9,3
105797428,20000908,,OQSECPPID,SE,300,104265537,26,103005537,2,7,3
105797430,20000908,,OQSECPPID,NW,200,104265537,26,103005537,2,7,3
105797431,20000908,,OQSECPPID,NE,100,104265537,26,103005537,2,7,3
105797429,20000908,,OQSECPPID,SW,400,104265537,26,103005537,2,7,3
105797419,20000908,,OQSECPPID,NE,100,104235537,23,103005537,2,7,3
105797416,20000908,,OQSECPPID,SE,300,104235537,23,103005537,2,7,3
105797417,20000908,,OQSECPPID,SW,400,104235537,23,103005537,2,7,3
105797418,20000908,,OQSECPPID,NW,200,104235537,23,103005537,2,7,3
105797467,20000908,,OQSECPPID,NE,100,104355537,35,103005537,2,7,3
105797466,20000908,,OQSECPPID,NW,200,104355537,35,103005537,2,7,3
105797464,20000908,,OQSECPPID,SE,300,104355537,35,103005537,2,7,3
105797465,20000908,,OQSECPPID,SW,400,104355537,35,103005537,2,7,3
105797383,20000908,,OQSECPPID,NE,100,104145537,14,103005537,2,7,3
105797381,20000908,,OQSECPPID,SW,400,104145537,14,103005537,2,7,3
105797380,20000908,,OQSECPPID,SE,300,104145537,14,103005537,2,7,3
105797382,20000908,,OQSECPPID,NW,200,104145537,14,103005537,2,7,3
105797369,20000908,,OQSECPPID,SW,400,104115537,11,103005537,2,7,3
105797371,20000908,,OQSECPPID,NE,100,104115537,11,103005537,2,7,3
105797368,20000908,,OQSECPPID,SE,300,104115537,11,103005537,2,7,3
105797370,20000908,,OQSECPPID,NW,200,104115537,11,103005537,2,7,3
105797335,20000908,,OQSECPPID,NE,100,104025537,2,103005537,2,7,3
105797333,20000908,,OQSECPPID,SW,400,104025537,2,103005537,2,7,3
105797334,20000908,,OQSECPPID,NW,200,104025537,2,103005537,2,7,3
105797332,20000908,,OQSECPPID,SE,300,104025537,2,103005537,2,7,3
105797322,20000908,,OQSECPPID,NW,200,104355536,35,103005536,1,7,3
105797323,20000908,,OQSECPPID,NE,100,104355536,35,103005536,1,7,3
105797321,20000908,,OQSECPPID,SW,400,104355536,35,103005536,1,7,3
105797320,20000908,,OQSECPPID,SE,300,104355536,35,103005536,1,7,3
105836763,20000925,,OQSECPPID,NE,100,104315810,31,103005810,5,9,3
105836762,20000925,,OQSECPPID,NW,200,104315810,31,103005810,5,9,3
105836760,20000925,,OQSECPPID,SE,300,104315810,31,103005810,5,9,3
105836761,20000925,,OQSECPPID,SW,400,104315810,31,103005810,5,9,3
105836570,20000911,,OQSECPPID,NW,200,104195809,19,103005809,4,9,3
105836568,20000911,,OQSECPPID,SE,300,104195809,19,103005809,4,9,3
105836571,20000911,,OQSECPPID,NE,100,104195809,19,103005809,4,9,3
105836569,20000911,,OQSECPPID,SW,400,104195809,19,103005809,4,9,3
105856224,20000914,,OQSECPPID,SE,300,104015946,1,103005946,6,10,3
105856275,20000914,,OQSECPPID,NE,100,104135946,13,103005946,6,10,3
105856319,20000914,,OQSECPPID,NE,100,104245946,24,103005946,6,10,3
105856316,20000914,,OQSECPPID,SE,300,104245946,24,103005946,6,10,3
105856323,20000914,,OQSECPPID,NE,100,104255946,25,103005946,6,10,3
105856127,20000914,,OQSECPPID,NE,100,104125945,12,103005945,5,10,3
105856131,20000914,,OQSECPPID,NE,100,104135945,13,103005945,5,10,3
105856128,20000914,,OQSECPPID,SE,300,104135945,13,103005945,5,10,3
105855987,20000913,,OQSECPPID,NE,100,104135944,13,103005944,4,10,3
105836855,20000918,,OQSECPPID,NE,100,104185811,18,103005811,6,9,3
105836852,20000918,,OQSECPPID,SE,300,104185811,18,103005811,6,9,3
105836853,20000918,,OQSECPPID,SW,400,104185811,18,103005811,6,9,3
105836854,20000918,,OQSECPPID,NW,200,104185811,18,103005811,6,9,3
105836856,20000918,,OQSECPPID,SE,300,104195811,19,103005811,6,9,3
105836857,20000918,,OQSECPPID,SW,400,104195811,19,103005811,6,9,3
105836859,20000918,,OQSECPPID,NE,100,104195811,19,103005811,6,9,3
105836858,20030421,,OQSECPPID,NW,200,104195811,19,103005811,6,9,3
105836901,20000918,,OQSECPPID,SW,400,104305811,30,103005811,6,9,3
105836902,20000918,,OQSECPPID,NW,200,104305811,30,103005811,6,9,3
105836903,20000918,,OQSECPPID,NE,100,104305811,30,103005811,6,9,3
105836900,20000918,,OQSECPPID,SE,300,104305811,30,103005811,6,9,3
