PPID,EFFDT,EXPDT,FEATURECD,SECT,PTWPPPID,PTWP,PRGE,PMER
104013254,20150923,,OSECPPID,1,103003254,14,20,2
104113254,20150923,,OSECPPID,11,103003254,14,20,2
104073254,20091104,,OSECPPID,7,103003254,14,20,2
104333254,20000614,,OSECPPID,33,103003254,14,20,2
104263254,20150923,,OSECPPID,26,103003254,14,20,2
104143254,20150923,,OSECPPID,14,103003254,14,20,2
104293254,20000614,,OSECPPID,29,103003254,14,20,2
104223254,20150923,,OSECPPID,22,103003254,14,20,2
104043254,20000614,,OSECPPID,4,103003254,14,20,2
104163254,20000614,,OSECPPID,16,103003254,14,20,2
104353254,20150923,,OSECPPID,35,103003254,14,20,2
104193254,20000614,,OSECPPID,19,103003254,14,20,2
104313254,20000614,,OSECPPID,31,103003254,14,20,2
104033254,20000614,,OSECPPID,3,103003254,14,20,2
104233254,20150923,,OSECPPID,23,103003254,14,20,2
104093254,20000614,,OSECPPID,9,103003254,14,20,2
104083254,20040917,,OSECPPID,8,103003254,14,20,2
104343254,20000614,,OSECPPID,34,103003254,14,20,2
104063254,20000614,,OSECPPID,6,103003254,14,20,2
104133254,20150923,,OSECPPID,13,103003254,14,20,2
104203254,20150923,,OSECPPID,20,103003254,14,20,2
104283254,20000614,,OSECPPID,28,103003254,14,20,2
104213254,20150923,,OSECPPID,21,103003254,14,20,2
104053254,20000614,,OSECPPID,5,103003254,14,20,2
104153254,20120405,,OSECPPID,15,103003254,14,20,2
104363254,20150923,,OSECPPID,36,103003254,14,20,2
104023254,20150923,,OSECPPID,2,103003254,14,20,2
104323254,20000614,,OSECPPID,32,103003254,14,20,2
104123254,20150923,,OSECPPID,12,103003254,14,20,2
104173254,20000614,,OSECPPID,17,103003254,14,20,2
104253254,20150923,,OSECPPID,25,103003254,14,20,2
104133523,20150929,,OSECPPID,13,103003523,13,22,2
104243523,20150929,,OSECPPID,24,103003523,13,22,2
104123523,20000630,,OSECPPID,12,103003523,13,22,2
104363523,20000630,,OSECPPID,36,103003523,13,22,2
104253523,20000630,,OSECPPID,25,103003523,13,22,2
104143120,20000614,,OSECPPID,14,103003120,15,19,2
104033120,20200327,,OSECPPID,3,103003120,15,19,2
104023120,20200327,,OSECPPID,2,103003120,15,19,2
104123120,20000614,,OSECPPID,12,103003120,15,19,2
104013120,20000614,,OSECPPID,1,103003120,15,19,2
104193120,20150915,,OSECPPID,19,103003120,15,19,2
104253120,20000614,,OSECPPID,25,103003120,15,19,2
104343120,20000614,,OSECPPID,34,103003120,15,19,2
104333120,20130905,,OSECPPID,33,103003120,15,19,2
104213120,20000614,,OSECPPID,21,103003120,15,19,2
104133120,20000614,,OSECPPID,13,103003120,15,19,2
104223120,20150915,,OSECPPID,22,103003120,15,19,2
104113120,20200327,,OSECPPID,11,103003120,15,19,2
104313120,20180307,,OSECPPID,31,103003120,15,19,2
104273120,20000614,,OSECPPID,27,103003120,15,19,2
104043120,20200327,,OSECPPID,4,103003120,15,19,2
104153120,20150915,,OSECPPID,15,103003120,15,19,2
104293120,20000614,,OSECPPID,29,103003120,15,19,2
104173120,20120522,,OSECPPID,17,103003120,15,19,2
104263120,20000614,,OSECPPID,26,103003120,15,19,2
104103120,20200327,,OSECPPID,10,103003120,15,19,2
104163120,20000614,,OSECPPID,16,103003120,15,19,2
104243120,20000614,,OSECPPID,24,103003120,15,19,2
104203120,20000614,,OSECPPID,20,103003120,15,19,2
104083120,20200327,,OSECPPID,8,103003120,15,19,2
104353120,20000614,,OSECPPID,35,103003120,15,19,2
104233120,20000614,,OSECPPID,23,103003120,15,19,2
104283120,20150806,,OSECPPID,28,103003120,15,19,2
104093120,20200327,,OSECPPID,9,103003120,15,19,2
104303120,20180307,,OSECPPID,30,103003120,15,19,2
104053120,20200327,,OSECPPID,5,103003120,15,19,2
104073120,20150915,,OSECPPID,7,103003120,15,19,2
104323120,20000614,,OSECPPID,32,103003120,15,19,2
104363120,20000614,,OSECPPID,36,103003120,15,19,2
104183120,20150915,,OSECPPID,18,103003120,15,19,2
104063120,20090326,,OSECPPID,6,103003120,15,19,2
104013525,20180531,,OSECPPID,1,103003525,15,22,2
104133525,20180531,,OSECPPID,13,103003525,15,22,2
104123525,20000630,,OSECPPID,12,103003525,15,22,2
104253525,20180531,,OSECPPID,25,103003525,15,22,2
104243525,20180531,,OSECPPID,24,103003525,15,22,2
104023119,20000614,,OSECPPID,2,103003119,14,19,2
104093119,20090311,,OSECPPID,9,103003119,14,19,2
104043119,20090311,,OSECPPID,4,103003119,14,19,2
104063119,20170927,,OSECPPID,6,103003119,14,19,2
104013119,20000614,,OSECPPID,1,103003119,14,19,2
104213119,20000614,,OSECPPID,21,103003119,14,19,2
104243119,20000614,,OSECPPID,24,103003119,14,19,2
104163119,20000614,,OSECPPID,16,103003119,14,19,2
104193119,20000614,,OSECPPID,19,103003119,14,19,2
104253119,20130326,,OSECPPID,25,103003119,14,19,2
104343119,20200327,,OSECPPID,34,103003119,14,19,2
104113119,20000614,,OSECPPID,11,103003119,14,19,2
104293119,20000614,,OSECPPID,29,103003119,14,19,2
104183119,20000614,,OSECPPID,18,103003119,14,19,2
104363119,20210601,,OSECPPID,36,103003119,14,19,2
104173119,20000614,,OSECPPID,17,103003119,14,19,2
104303119,20000614,,OSECPPID,30,103003119,14,19,2
104033119,20090311,,OSECPPID,3,103003119,14,19,2
104223119,20150930,,OSECPPID,22,103003119,14,19,2
104323119,20200327,,OSECPPID,32,103003119,14,19,2
104123119,20000614,,OSECPPID,12,103003119,14,19,2
104333119,20200327,,OSECPPID,33,103003119,14,19,2
104233119,20090311,,OSECPPID,23,103003119,14,19,2
104353119,20000614,,OSECPPID,35,103003119,14,19,2
104103119,20150930,,OSECPPID,10,103003119,14,19,2
104203119,20000614,,OSECPPID,20,103003119,14,19,2
104153119,20150930,,OSECPPID,15,103003119,14,19,2
104083119,20090311,,OSECPPID,8,103003119,14,19,2
104283119,20000614,,OSECPPID,28,103003119,14,19,2
104313119,20200327,,OSECPPID,31,103003119,14,19,2
104263119,20000614,,OSECPPID,26,103003119,14,19,2
104273119,20000614,,OSECPPID,27,103003119,14,19,2
104073119,20170927,,OSECPPID,7,103003119,14,19,2
104053119,20090311,,OSECPPID,5,103003119,14,19,2
104143119,20150930,,OSECPPID,14,103003119,14,19,2
104133119,20000614,,OSECPPID,13,103003119,14,19,2
